Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
EBR.BA,31225.0,2024/10/24,15:28 ART,-500.0,31400.0,31400.0,31225.0,18,,,,,,,
015760.KS,22800.0,2024/10/25,15:30 KST,-250.0,22850.0,23350.0,22550.0,2791811,,,,,,,
BID.JO,42920.0,2024/10/25,15:05 SAST,-130.0,43050.0,43205.0,42674.0,1038945,,,,,,,
BFIN.JK,975.0,2024/10/25,16:03 WIB,0.0,975.0,990.0,970.0,5182700,,,,,,,
SIP.VN,70100.0,2024/10/25,14:45 ICT,-1400.0,71500.0,71600.0,70100.0,150800,,,,,,,
TCS.NS,4057.55,2024/10/25,15:30 IST,9.6501465,4057.05,4092.0,4032.7,1759429,,,,,,,
TCS.BO,4057.9,2024/10/25,15:58 IST,9.75,4069.9,4091.75,4034.0,142063,,,,,,,
011200.KS,16830.0,2024/10/25,15:30 KST,-220.0,16960.0,17130.0,16700.0,751295,,,,,,,
KDC.VN,51200.0,2024/10/25,14:45 ICT,-300.0,51600.0,51600.0,51000.0,6108300,,,,,,,
SUZ.BA,12025.0,2024/10/24,16:57 ART,50.0,11975.0,12050.0,11925.0,143,,,,,,,
WIKA.JK,372.0,2024/10/25,16:13 WIB,-12.0,384.0,388.0,370.0,19667600,,,,,,,
NLG.VN,38750.0,2024/10/25,14:45 ICT,-150.0,39050.0,39250.0,38750.0,1276200,,,,,,,
JPFA.JK,1680.0,2024/10/25,16:14 WIB,-15.0,1695.0,1710.0,1645.0,31113200,,,,,,,
SNEC34.SA,101.51,2024/10/25,10:01 BRT,1.0100021,101.51,101.51,101.51,15,,,,,,,
CLEO.JK,1265.0,2024/10/25,16:03 WIB,-20.0,1285.0,1285.0,1250.0,3882500,,,,,,,
LIFE.JK,7100.0,2024/10/25,16:04 WIB,-225.0,7325.0,7325.0,7100.0,6000,,,,,,,
000815.KS,278000.0,2024/10/25,15:30 KST,0.0,278000.0,279500.0,276000.0,7494,,,,,,,
GRUPOARGOS.CL,18960.0,2024/10/24,16:00 EDT,260.0,0.0,0.0,0.0,0,,,,,,,
9983.T,49850.0,2024/10/25,15:15 JST,-350.0,49820.0,50040.0,49420.0,870800,,,,,,,
HYGCL.SN,74900.0,2024/10/24,14:57 CLST,-200.0,0.0,74900.0,74900.0,0,,,,,,,
GOOD.JK,414.0,2024/10/25,16:00 WIB,-2.0,408.0,424.0,408.0,185400,,,,,,,
SHP.JO,28233.0,2024/10/25,15:06 SAST,281.0,28000.0,28233.0,27809.0,622410,,,,,,,
KGC.BA,12600.0,2024/10/24,16:10 ART,-75.0,12600.0,12700.0,12375.0,417,,,,,,,
PFGRUPOARG.CL,12300.0,2024/10/24,16:00 EDT,260.0,0.0,0.0,0.0,0,,,,,,,
MIDI.JK,464.0,2024/10/25,16:14 WIB,2.0,462.0,472.0,460.0,14599500,,,,,,,
PNLF.JK,484.0,2024/10/25,16:14 WIB,6.0,478.0,492.0,474.0,144724600,,,,,,,
BBSI.JK,4260.0,2024/10/25,15:49 WIB,70.0,4050.0,4260.0,4050.0,6000,,,,,,,
259960.KS,344500.0,2024/10/25,15:30 KST,-2500.0,346000.0,350000.0,340500.0,45863,,,,,,,
ACES.JK,915.0,2024/10/25,16:10 WIB,5.0,915.0,935.0,915.0,17931700,,,,,,,
SHELL.XC,2551.0,2024/10/25,14:21 BST,8.25,2536.5,2551.0,2532.75,268852,,,,,,,
SHEL.L,2542.0,2024/10/25,14:06 BST,0.0,2536.0,2548.0,2533.0,2129619,,,,,,,
000810.KS,356500.0,2024/10/25,15:30 KST,10000.0,349000.0,358500.0,346500.0,152549,,,,,,,
6861.T,64810.0,2024/10/25,15:15 JST,180.0,64630.0,65210.0,64280.0,298300,,,,,,,
066570.KS,92100.0,2024/10/25,15:30 KST,-5100.0,97400.0,97400.0,91700.0,1000018,,,,,,,
LLY.MX,17650.0,2024/10/24,11:41 CST,0.0,17650.0,17650.0,17650.0,12,,,,,,,
AVY.BA,13400.0,2024/10/24,15:05 ART,-275.0,13450.0,13475.0,13375.0,15,,,,,,,
247540.KQ,157600.0,2024/10/25,15:30 KST,1000.0,160400.0,163400.0,155500.0,349054,,,,,,,
6758.T,2645.0,2024/10/25,15:15 JST,-39.5,2675.0,2677.0,2634.0,7416600,,,,,,,
066575.KS,47250.0,2024/10/25,15:30 KST,-1800.0,49050.0,49050.0,47200.0,37146,,,,,,,
BSIM.JK,805.0,2024/10/25,14:24 WIB,5.0,805.0,805.0,805.0,1700,,,,,,,
035720.KS,36500.0,2024/10/25,15:30 KST,-950.0,37450.0,37700.0,36100.0,852346,,,,,,,
VHC.VN,70800.0,2024/10/25,14:45 ICT,-300.0,71800.0,71800.0,70100.0,628400,,,,,,,
ESSA.JK,945.0,2024/10/25,16:10 WIB,-30.0,975.0,975.0,935.0,22887100,,,,,,,
JPM.MX,4445.0,2024/10/24,12:55 CST,0.0,4410.0,4445.0,4445.0,1032,,,,,,,
IP.BA,14375.0,2024/10/24,13:39 ART,-225.0,14400.0,14400.0,14300.0,20,,,,,,,
VIX.VN,11100.0,2024/10/25,14:45 ICT,-150.0,11350.0,11350.0,11100.0,11382400,,,,,,,
BASF.BD,18500.0,2024/10/24,09:02 CEST,0.0,18500.0,18500.0,18500.0,9,,,,,,,
CMNT.JK,965.0,2024/10/25,16:01 WIB,0.0,965.0,970.0,960.0,35486700,,,,,,,
KPIG.JK,169.0,2024/10/25,16:14 WIB,-1.0,170.0,172.0,169.0,93966300,,,,,,,
MTN.JO,8873.0,2024/10/25,15:05 SAST,-27.0,8900.0,9100.0,8857.0,1304639,,,,,,,
TSLA.MX,5172.0,2024/10/24,13:59 CST,-13.370117,4830.01,5172.0,5172.0,54275,,,,,,,
SNA.BA,64000.0,2024/10/24,16:47 ART,-250.0,63800.0,64000.0,63700.0,7,,,,,,,
VPI.VN,57300.0,2024/10/25,14:45 ICT,500.0,57400.0,57400.0,57000.0,1071900,,,,,,,
SNAP.BA,12075.0,2024/10/24,16:56 ART,100.0,12100.0,12200.0,12050.0,340,,,,,,,
CNMA.JK,204.0,2024/10/25,16:07 WIB,2.0,202.0,208.0,202.0,34682700,,,,,,,
PTRO.JK,16900.0,2024/10/25,16:14 WIB,-100.0,17050.0,17500.0,16800.0,5188400,,,,,,,
BNG.BA,21250.0,2024/10/24,16:59 ART,150.0,21000.0,21325.0,21000.0,360,,,,,,,
012450.KS,378000.0,2024/10/25,15:30 KST,4000.0,375000.0,384500.0,368500.0,280034,,,,,,,
BNII.JK,228.0,2024/10/25,16:09 WIB,-2.0,230.0,232.0,228.0,610900,,,,,,,
HRUM.JK,1310.0,2024/10/25,16:10 WIB,-5.0,1320.0,1325.0,1305.0,6568500,,,,,,,
GEX.VN,20450.0,2024/10/25,14:45 ICT,-50.0,20550.0,20650.0,20400.0,2896800,,,,,,,
329180.KS,198100.0,2024/10/25,15:30 KST,400.0,198900.0,203000.0,196800.0,167345,,,,,,,
VRSN.BA,36525.0,2024/10/24,16:30 ART,-275.0,36800.0,36800.0,36450.0,565,,,,,,,
003670.KS,227000.0,2024/10/25,15:30 KST,-4500.0,238500.0,239000.0,227000.0,241525,,,,,,,
